artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Colyn,Unity Pt. 3,Unstable Gravity Alert,42,401379,False,0.808,0.717,6,-8.534,0,0.0595,0.113,0.914,0.0728,0.123,123.008,4,techno
Seth Troxler;Tom Trago;T&T Music Factory,DJ-Kicks (Seth Troxler) [DJ Mix],De Natte Cel (DJ-Kicks) - mixed,11,347786,False,0.657,0.591,0,-12.544,0,0.0549,0.0892,0.84,0.118,0.561,121.149,4,detroit-techno
Fly By Midnight;Clara Mae,Lost Without You (feat. Clara Mae),Lost Without You (feat. Clara Mae),58,165814,False,0.63,0.659,0,-9.799,1,0.129,0.502,3.62e-05,0.547,0.659,163.059,4,house
Paul Johnson;DJ Deeon,Let Me See You Butterfly,Let Me See You Buttefly - DJ Deeon Remix,5,333063,False,0.796,0.835,8,-6.362,1,0.0531,0.0187,0.154,0.0592,0.75,132.991,4,chicago-house
Vadim Kozin,Velikie ispolniteli Rossii XX veka: Vadim Kozin (Deluxe Version),Kovyl',0,189653,False,0.502,0.0984,2,-15.272,0,0.0918,0.994,0.0128,0.127,0.48,64.687,4,romance
MxPx,Life In General,Do Your Feet Hurt,32,190000,False,0.256,0.944,5,-3.593,1,0.04,0.000458,0.000335,0.0747,0.673,107.217,4,ska
Friction;A Little Sound,Weed & Wine,Weed & Wine,53,184000,True,0.593,0.923,7,-2.717,0,0.0501,0.128,9.59e-05,0.157,0.229,174.038,4,drum-and-bass
Robin Schulz;Francesco Yates,Comme un lundi,Sugar,3,219043,False,0.635,0.813,5,-5.098,0,0.0578,0.0187,0.0,0.163,0.641,123.065,4,dance
CN,Highlight (High Life),Highlight - High Life,15,156009,True,0.873,0.622,1,-9.343,0,0.0984,0.15,0.0,0.153,0.278,130.051,4,idm
Cooltime Kids,Kids Songs: Valentine's Party,You Are My Sunshine,16,119293,False,0.853,0.628,7,-8.699,1,0.049,0.0722,0.0,0.174,0.948,109.069,4,kids
VNV Nation,Judgement,Testament,27,374733,False,0.587,0.854,6,-6.68,1,0.0339,0.00587,0.000551,0.0883,0.339,142.985,4,industrial
The Infamous Stringdusters,Laws Of Gravity,Gravity,34,221640,False,0.462,0.613,7,-8.153,1,0.0271,0.213,0.0927,0.189,0.327,137.7,4,bluegrass
Bad Bunny;Tony Dize,Un Verano Sin Ti,La Corriente,90,198367,True,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,0.579,196.12,4,latino
Noisia;Mefjus,The Resonance IV,Concussion - Mefjus Remix,44,226046,False,0.607,0.98,1,-0.488,1,0.25,0.000282,0.841,0.566,0.396,172.039,4,deep-house
Tony Molina,Dissed and Dismissed,Change My Ways,27,72339,False,0.233,0.818,2,-10.238,1,0.0375,0.215,0.0689,0.296,0.76,164.429,4,garage
Leoni,Teletema Nacional Volume 2,Garotos II - O Outro Lado,40,236786,False,0.809,0.338,2,-13.846,1,0.0291,0.747,4.52e-05,0.11,0.77,107.99,4,mpb
The Killers,Kick It,Mr. Brightside,1,223973,False,0.344,0.931,1,-3.759,1,0.0783,0.00104,0.0,0.0903,0.251,148.104,4,alternative
ILLENIUM;Skylar Grey,From The Ashes (with Skylar Grey),From The Ashes (with Skylar Grey),67,253983,False,0.404,0.789,2,-4.516,1,0.0566,0.0243,0.000231,0.226,0.159,154.858,4,dub
音樂磁場,音樂磁場11-台語經典名曲,車站,22,234840,False,0.563,0.299,1,-15.709,1,0.0287,0.197,5.6e-05,0.362,0.232,80.891,3,mandopop
Hasse & Kvinnaböske Band,Du ska inte kasta sten,Kung Ola,32,258666,False,0.506,0.761,4,-9.868,1,0.0571,0.481,0.0,0.456,0.923,129.286,4,ska
Röyksopp;Susanne Sundfør,"Oh, Lover","Oh, Lover - Edit",50,213276,False,0.576,0.741,0,-6.095,0,0.0264,0.00095,0.0666,0.094,0.271,94.995,4,trip-hop
Måneskin,Teatro d'ira - Vol. I,ZITTI E BUONI,76,194786,True,0.625,0.939,4,-3.115,0,0.0669,0.00138,0.0,0.424,0.644,102.999,4,indie-pop
Twenty One Pilots,All Out Alternative,Stressed Out,2,202333,False,0.735,0.638,4,-5.67,0,0.139,0.0459,2.38e-05,0.0602,0.669,169.976,4,rock
Samuel Messias,Eu Não Perdi o Controle (Ao Vivo),Eu Não Perdi o Controle (Ao Vivo),51,437324,False,0.516,0.51,6,-9.462,1,0.0349,0.138,0.0,0.0721,0.332,123.648,4,gospel
Raimundos,Acústico - Ao Vivo,Me Lambe - Ao Vivo | Acústico,38,269568,False,0.375,0.953,3,-3.824,0,0.198,0.274,0.0,0.445,0.689,174.003,4,punk-rock
Kyle Kinane,Whiskey Icarus,Shout It out Loud,26,267760,True,0.612,0.845,4,-4.979,1,0.937,0.805,0.0,0.713,0.311,119.3,4,comedy
Stanton Warriors,Rise,Rise,18,225453,False,0.632,0.729,10,-6.764,0,0.0293,0.174,0.218,0.16,0.196,123.99,4,breakbeat
We The Kings;Demi Lovato,Smile Kid,We'll Be a Dream (feat. Demi Lovato),23,233066,False,0.434,0.702,9,-4.681,1,0.0305,0.00346,0.0,0.232,0.15,159.94,4,piano
untrusted;pretence;11:11 Music Group,"eyes blue or brown, can't remember","eyes blue or brown, can't remember",66,180833,False,0.751,0.354,10,-14.518,1,0.446,0.885,0.179,0.206,0.781,143.87,4,sad
Yosui Inoue,招待状のないショー,青空、ひとりきり - Remastered 2018,26,260893,False,0.762,0.805,2,-4.696,0,0.0358,0.283,0.0,0.106,0.963,116.141,4,acoustic
Circa Survive,Descensus,Child of the Desert,32,290453,False,0.373,0.832,0,-2.795,1,0.0409,2.13e-05,0.0565,0.088,0.375,195.091,5,hardcore
Will Ackerman,Touch - Windham Hill 25 Years of Guitar,Shella's Pictures,21,318093,False,0.259,0.0681,6,-21.105,1,0.0458,0.978,0.942,0.0993,0.0547,78.324,3,new-age
Alfredo De Angelis;Juan Carlos Godoy,"Alfredo de Angelis, Vol. 2",Obsesión,23,197520,False,0.717,0.353,3,-6.821,0,0.1,0.861,0.0146,0.141,0.789,114.961,4,tango
Михаил Вавич,Золотой фонд 19го века,Ночи безумные,0,170053,False,0.211,0.488,10,-7.149,1,0.0425,0.993,0.188,0.215,0.208,78.623,3,romance
Montell Jordan;Redman,Let's Ride,Anything And Everything,23,261866,False,0.898,0.657,6,-3.814,1,0.148,0.00866,0.0,0.0523,0.964,95.181,4,j-dance
Nat King Cole Trio,Home At Christmas,All I Want For Christmas (Is My Two Front Teeth),0,151333,False,0.771,0.158,6,-10.374,0,0.0621,0.895,0.0,0.144,0.504,130.072,4,jazz
Doris Melwin,Dream Reality,Dream Reality,60,186781,False,0.144,0.0028,5,-33.697,1,0.0474,0.937,0.877,0.108,0.208,77.314,1,sleep
S3RL,Bass Slut / It Went / Crazy Ass Bitch,Bass Slut - Original Mix,51,329142,False,0.511,0.987,1,-3.182,1,0.171,0.00453,0.00214,0.142,0.521,174.996,4,happy
Cri-Cri,Las 100 Clásicas de Cri Cri Vol. 1,El Reloj,34,156493,False,0.54,0.236,10,-11.138,1,0.0324,0.856,1.85e-05,0.234,0.414,122.297,4,children
Seizo,Oh Baby,Oh Baby,55,159895,False,0.695,0.8,8,-5.011,1,0.0345,0.0278,0.00118,0.118,0.39,124.022,4,deep-house
Ramin Djawadi,"House of the Dragon: Season 1, Episode 9 (Soundtrack from the HBO® Series)",Lament,49,206397,False,0.281,0.00863,2,-25.269,1,0.0431,0.949,0.944,0.106,0.0384,74.067,5,german
Joe Smooth;Cosmic Gate,ASOT 976 - A State Of Trance Episode 976 (A State Of Trance Showcase - Mix 009: Rodg),Promised Land (ASOT 976) - Cosmic Gate's No Gravity Remix,5,351440,False,0.614,0.83,9,-6.903,1,0.0331,0.00854,0.203,0.103,0.0389,126.981,4,chicago-house
Old 97's,Satellite Rides,Weightless,21,224426,False,0.528,0.423,2,-10.147,1,0.025,0.0717,0.00215,0.276,0.474,84.097,4,power-pop
Michael Brook;Nusrat Fateh Ali Khan,Night Song,Longing,21,335600,False,0.48,0.551,2,-11.776,1,0.0422,0.415,0.624,0.0727,0.0954,91.973,4,ambient
Claptone;JAW,Charmer,No Eyes,59,242671,False,0.906,0.388,3,-10.729,1,0.045,0.0869,0.0187,0.117,0.541,120.027,4,techno
Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,Teardrops,67,215003,True,0.497,0.916,7,-3.323,1,0.108,0.000323,0.0,0.36,0.401,96.051,4,metal
Mohan Kannan;Neha Bhasin,Neerja,Aankhein Milayenge Darr Se,45,176750,False,0.725,0.703,5,-4.948,1,0.0741,0.433,0.0,0.0632,0.561,82.051,4,indian
Suicide Silence,The Black Crown,You Only Live Once,60,192560,False,0.613,0.953,6,-4.936,1,0.153,0.00018,0.0614,0.116,0.213,119.976,4,death-metal
Silent Knights,White Noise Hoover,Calming Hoover,33,160000,False,0.0,0.178,0,-7.704,0,0.0,0.187,0.981,0.57,0.0,0.0,0,sleep
Chronic Law,Life Changes,Walk with Faith,2,210279,False,0.703,0.494,5,-7.829,0,0.315,0.627,0.0,0.172,0.457,93.609,4,j-dance
Dazik69,Wax Poetry,Wax Poetry,37,117333,False,0.748,0.247,6,-14.915,0,0.0781,0.121,0.46,0.0952,0.5,90.013,4,study
Adriana Calcanhotto,A Fábrica Do Poema,Cariocas,39,195733,False,0.546,0.441,5,-15.022,1,0.0457,0.581,0.0596,0.357,0.403,79.909,4,mpb
Dead To Fall,Everything I Touch Falls To Pieces,Eternal Gates Of Hell,23,196893,False,0.349,0.842,1,-8.844,0,0.0846,0.00421,0.0314,0.325,0.402,102.268,4,death-metal
J Balvin,Carrete con besties,Sigo Extrañándote,0,201280,False,0.896,0.859,11,-4.232,0,0.21,0.154,0.000109,0.212,0.938,93.016,4,reggaeton
Elephant Man,PEPPERSPRAY RIDDIM,Till The End,0,176129,True,0.695,0.967,7,-1.172,1,0.412,0.163,0.0,0.131,0.944,133.414,5,j-dance
Lil Revive,Grim Peaks,Tell the Reaper I'm Sorry,61,161261,True,0.536,0.646,4,-8.694,0,0.0407,0.166,0.0,0.133,0.296,160.037,4,emo
Rata Blanca,The forgotten Kingdom,Talisman,20,314331,False,0.528,0.799,1,-6.289,0,0.0345,0.0281,0.00304,0.0661,0.499,118.031,4,heavy-metal
Jack Hartmann,"Kindergarten Songs (Greatest Hits, Vol. 1)",A Beautiful Day,11,155373,False,0.636,0.594,4,-5.784,1,0.0283,0.381,0.0,0.122,0.658,111.837,4,kids
Criolo,Ainda Há Tempo,Breaco,40,177240,False,0.619,0.781,1,-6.548,1,0.333,0.148,0.0,0.183,0.728,182.026,4,afrobeat
Crumb,Locket,Plants,59,191904,False,0.494,0.406,11,-10.725,0,0.0411,0.607,0.496,0.122,0.222,81.03,4,garage
E-Force;Warface;Rebelion,The Edge Of Insanity,One,21,135640,False,0.457,0.883,7,-6.478,1,0.342,0.102,0.0,0.395,0.201,155.074,4,hardstyle
Dua Lipa;DaBaby,Levitating (feat. DaBaby),Levitating (feat. DaBaby),78,203064,False,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4,dance
Daddyphatsnaps,The GOAT (Whitebeard),The GOAT (Whitebeard),51,261269,False,0.706,0.614,10,-10.284,0,0.299,0.294,0.0,0.16,0.558,82.84,4,anime
Mike Williams;Robbie Mendez,Storylines,Ambush - Extended Mix,0,213333,False,0.571,0.912,6,-5.108,0,0.046,0.0094,0.805,0.162,0.601,125.996,4,progressive-house
tacica,newsong e.p.,newsong,52,211573,False,0.555,0.896,9,-3.832,1,0.0356,0.0027,0.0,0.0649,0.7,128.057,4,j-rock
Almir Sater,Almir Sater,Boiada,46,226266,False,0.421,0.346,11,-9.351,1,0.0255,0.875,9.27e-06,0.0895,0.318,95.842,3,folk
Lele Pons,Celoso,Celoso,67,179693,False,0.746,0.703,4,-4.179,0,0.107,0.352,0.0,0.331,0.667,166.043,4,latin
Kyoko Koizumi,My Sweet Home,My Sweet Home,26,281921,False,0.607,0.769,10,-7.064,1,0.0299,0.274,0.000146,0.46,0.681,132.978,4,techno
Dean Demir,Raconteur,Raconteur,62,107717,False,0.417,0.00489,1,-31.073,1,0.0419,0.988,0.937,0.0911,0.286,71.084,4,piano
Glee Cast;Jonathan Groff,Glee LGBTQIA+ Pride,Like A Virgin (Glee Cast Version) (feat. Jonathan Groff),15,195093,False,0.679,0.845,4,-3.05,0,0.0478,0.0651,0.0,0.0841,0.763,119.989,4,club
David Guetta;MistaJam;John Newman,La Fine dell'Estate,If You Really Love Me (How Will I Know),3,184390,False,0.692,0.883,7,-4.698,1,0.0582,0.0512,0.0,0.228,0.614,122.984,4,dance
Bierkapitän;Andy Luxx;Dj Aaron,Karneval 2022 100%,Lea,0,159374,False,0.66,0.977,6,-2.232,0,0.0579,0.0278,0.0,0.337,0.771,140.013,4,party
Ed Sheeran;Lil Baby,I'm Blue - Hits of 2022,2step,1,163449,False,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,4,pop
Weekend Nachos,Worthless,Obituary,27,71760,False,0.29,0.946,4,-2.736,1,0.0899,1.08e-05,0.601,0.126,0.0486,62.659,4,grindcore
Nogizaka46,走れ!Bicycle TypeA,走れ!Bicycle,22,222320,False,0.507,0.942,2,-2.124,1,0.0689,0.111,1.31e-06,0.246,0.635,165.074,4,j-idol
Au5;EMME,Another Way,Another Way,45,291200,False,0.337,0.888,5,-4.822,0,0.11,0.0176,7.65e-05,0.185,0.3,150.027,4,dubstep
Janice Vidal,Imagine,街燈晚餐,45,312906,False,0.494,0.614,1,-4.851,1,0.0288,0.722,0.0,0.097,0.322,148.646,4,cantopop
ILLENIUM;MAX,Awake,Beautiful Creatures (feat. MAX),56,240508,False,0.578,0.826,0,-4.577,0,0.0796,0.0668,0.00074,0.367,0.216,117.048,4,dub
Peppa Pig,My First Album,The Class Of Madame Gazelle,47,144417,False,0.873,0.592,2,-5.788,1,0.0431,0.365,0.0,0.721,0.265,113.947,4,british
Alexander Vertinsky,"Русский Свет Песни, том 2 / Записи 1933 - 1957",Malenkij Kreolčik,5,167578,False,0.471,0.0827,7,-12.718,0,0.103,0.994,5.78e-05,0.244,0.196,87.225,3,romance
Fan Yi Chen,不說出的溫柔,放生,53,273093,False,0.548,0.604,8,-5.379,0,0.0349,0.453,2.45e-05,0.19,0.26,137.852,4,mandopop
Daniel Deluxe,Ghostrunner (Original Soundtrack),Vendetta,40,164583,False,0.64,0.89,7,-6.647,1,0.0572,0.0502,0.824,0.43,0.145,104.979,4,club
Linkin Park;Page Hamilton,The Hunting Party,All for Nothing (feat. Page Hamilton),56,213653,True,0.461,0.958,4,-3.852,0,0.124,0.000203,9.33e-06,0.459,0.264,159.974,4,metal
Golpe a Golpe,El Bien y el Mal,La Chinita de los Ojos Cafés,44,201363,False,0.88,0.74,9,-3.833,1,0.244,0.0966,0.0,0.158,0.858,91.978,4,reggae
Yui Horie,ワールドエンドの庭,Sweet & Sweet CHERRY,36,194666,False,0.664,0.749,8,-5.075,1,0.0278,0.12,1.15e-06,0.117,0.641,103.99,4,j-idol
KAMRAD,I Believe,I Believe,76,147007,False,0.711,0.681,10,-7.459,1,0.0263,0.124,0.0,0.262,0.775,118.021,4,german
Abdul Hannan,Haaray,Haaray,57,184000,False,0.716,0.29,9,-12.098,1,0.0332,0.634,7.3e-05,0.0987,0.281,90.019,4,indie
Shenseea,ALPHA,Can't Anymore,60,155307,False,0.771,0.724,9,-5.372,0,0.0422,0.209,3.51e-06,0.281,0.77,102.991,4,dancehall
BOL4,Red Diary Page.1,Some,74,181373,False,0.659,0.799,1,-2.849,0,0.0629,0.417,0.0,0.0562,0.782,103.991,4,k-pop
Toddler Tunes,Songs for Kids: Classic Children's Music,The Abc Song,52,50902,False,0.523,0.126,8,-11.306,1,0.0335,0.925,0.0,0.116,0.513,74.732,4,children
Arijit Anand,Hai Koi Khayaal,Taare,5,179190,False,0.428,0.146,4,-14.043,0,0.0351,0.867,0.0,0.116,0.227,124.588,4,singer-songwriter
M83,"Hurry up, We're Dreaming",My Tears Are Becoming a Sea,64,151826,False,0.162,0.353,8,-11.286,0,0.0509,0.0993,0.274,0.575,0.0551,110.76,1,french
Igor Talkov,Моя любовь Часть 1,Праздник,8,311745,False,0.736,0.562,2,-13.787,0,0.0477,0.567,0.0125,0.317,0.505,136.797,4,romance
Carpathian Forest,Fuck You All,Everyday I Must Suffer!,16,257413,False,0.307,0.981,8,-5.591,0,0.0799,1.58e-06,0.819,0.207,0.227,77.526,4,black-metal
Ray Remesch,"EFlashApps Nursery Rhymes, Vol. 3",Turkey in the Straw,8,71409,False,0.827,0.668,5,-5.479,1,0.048,0.794,0.0,0.12,0.949,102.35,4,kids
Seinabo Sey;Kygo,Pretend,Younger - Kygo Remix,65,351578,False,0.69,0.489,5,-7.938,1,0.0788,0.13,0.00022,0.0815,0.645,114.008,4,swedish
Sonic Journey,Falling for You,Falling for You,47,196951,False,0.408,0.679,5,-7.821,0,0.0561,0.178,0.000101,0.0819,0.137,144.515,4,dub
Wax Tailor,Dusty Rainbow from the Dark,No,19,171386,False,0.784,0.809,1,-6.386,1,0.168,0.234,0.00277,0.176,0.651,84.051,4,trip-hop
Frank Aguiar;Marcos & Belutti,Frank Aguiar - 20 Anos,Esperando Na Janela - Live,36,175226,False,0.592,0.811,4,-5.55,1,0.175,0.431,0.0,0.437,0.707,169.849,4,forro
Guided By Voices,Bee Thousand,Demons Are Real,41,48506,False,0.308,0.701,1,-11.793,0,0.0733,0.0933,0.000491,0.236,0.368,129.264,4,power-pop
Dead To Me,Little Brother,Don't Wanna,25,156293,False,0.206,0.897,1,-6.695,0,0.0606,3.55e-05,0.000634,0.138,0.522,186.521,4,power-pop
Cody Johnson,Good Times Country,Let's Build a Fire,1,176666,False,0.417,0.968,8,-3.827,1,0.0452,0.00144,2.56e-05,0.0827,0.879,187.979,4,country
Luisito Ayala Y La Puerto Rican Power,Wild Wild Salsa,Me Tiene Loco,27,263000,False,0.807,0.793,1,-7.803,1,0.0482,0.316,0.000418,0.046,0.968,100.328,4,salsa
Level One,The Prophecy,The Prophecy,21,193548,False,0.452,0.974,9,-2.866,0,0.189,0.00683,0.0,0.378,0.319,155.019,4,hardstyle
Arko;Jubin Nautiyal,The Shaukeens,Meherbani,65,243591,False,0.41,0.455,4,-8.071,1,0.0316,0.731,0.0,0.185,0.361,90.993,4,pop
Sandra De Sá;MarVixx;Simone Malafaia,Olhos Coloridos (Rap Singulares),Olhos Coloridos (Rap Singulares),37,277565,False,0.669,0.841,10,-3.778,0,0.214,0.0782,8.03e-05,0.353,0.817,114.784,4,samba
Beenie Man;La J,Fiesta Riddim,Dick,21,225800,False,0.739,0.676,0,-8.288,1,0.116,0.318,5.47e-06,0.658,0.938,93.97,4,j-dance
Broilers,Loco Hasta La Muerte,Blume,35,161666,False,0.491,0.783,0,-3.957,1,0.0343,0.0244,1.85e-05,0.181,0.428,137.126,4,ska
Pappo;Vicentico,"Pappo y Amigos, Vol. 1",El Sur de la Ciudad,23,200160,False,0.503,0.522,9,-7.635,1,0.0248,0.0232,0.00955,0.152,0.468,74.106,4,heavy-metal
Lorne Balfe,Black Adam (Original Motion Picture Soundtrack),Shaza-Superman,25,143445,False,0.178,0.206,10,-21.593,0,0.0376,0.157,0.64,0.0953,0.0358,165.91,4,british
GLAY,pure soul,pure soul,34,384546,False,0.484,0.84,2,-5.047,1,0.0299,0.0501,0.0,0.245,0.549,133.817,4,j-rock
The Dillards,Back Porch Bluegrass,Duelin' Banjo,23,140066,False,0.418,0.882,9,-11.879,1,0.0377,0.117,0.48,0.0632,0.967,169.157,4,bluegrass
ILLENIUM;Teddy Swims;Will Clarke,All That Really Matters (Will Clarke Remix),All That Really Matters - Will Clarke Remix,50,229663,False,0.593,0.755,1,-6.608,1,0.0333,0.00603,4.96e-05,0.0897,0.278,130.021,4,dubstep
Brandy;Mase,Pop Station,Top of the World,0,281506,False,0.839,0.621,1,-5.739,1,0.132,0.00301,0.0338,0.105,0.855,98.015,4,soul
Ella Fitzgerald;Louis Armstrong,World's Best Christmas Playlist,Cheek To Cheek,0,353647,False,0.665,0.443,0,-8.076,1,0.0803,0.582,0.0,0.113,0.662,122.872,4,jazz
"Fear, and Loathing in Las Vegas",All That We Have Now,Just Awake,58,218573,False,0.357,0.98,5,-1.286,0,0.153,0.00143,0.0,0.196,0.567,191.147,4,hard-rock
A$AP Rocky;Skepta,TESTING,Praise The Lord (Da Shine) (feat. Skepta),82,205040,True,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4,hip-hop
Goldie;James Davidson;Subjective;Natalie Duncan,The Start of No Regret,American Gods (feat. Natalie Duncan),19,272528,False,0.663,0.773,7,-5.441,0,0.03,0.0331,0.00341,0.134,0.103,120.0,4,drum-and-bass
Blake Rules;Netherfriends,Kids Trap 15,Peanut Butter,8,152000,False,0.978,0.419,9,-10.565,1,0.129,0.395,0.0,0.0714,0.813,119.995,4,kids
Juggernaut,The World of the LSD-User,The World of the LSD-User,19,238608,False,0.427,0.91,6,-9.822,0,0.0561,0.000336,0.696,0.126,0.379,164.84,1,happy
Alice In Chains,Jar Of Flies,I Stay Away,62,254400,False,0.174,0.781,6,-7.066,1,0.0406,0.0452,0.00346,0.0822,0.276,81.37,4,grunge
Michael Forzza,Kahana / Shocker,Kahana,24,456748,False,0.784,0.42,7,-11.349,1,0.0565,0.00516,0.842,0.123,0.531,135.002,4,techno
Tove Lo,Concierto en la ducha,Cool Girl,0,199179,True,0.66,0.695,9,-7.076,0,0.113,0.313,7.17e-06,0.0752,0.204,101.997,4,electro
His Hero Is Gone,The Plot Sickens,Remedy Past Remedies,23,46412,False,0.317,0.917,1,-11.468,1,0.059,1.84e-05,0.76,0.278,0.526,98.015,4,grindcore
D.ACE;Cookiesan,Nakama,La mélodie des katanas,34,152700,False,0.535,0.722,9,-7.684,0,0.555,0.388,0.0,0.0995,0.594,143.285,4,french
The Goo Goo Dolls,Human - Best Adult Pop Tunes,"Yeah, I Like You",0,264466,False,0.479,0.938,2,-3.058,1,0.0376,7.54e-05,0.000153,0.117,0.431,140.056,4,rock
Chuck Berry,Best Christmas Songs 2022,Run Rudolph Run,0,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,rockabilly
Charly Black;Luis Fonsi,Perreo Tenebroso Vol. 1,Party Animal,0,195813,False,0.724,0.869,0,-3.922,1,0.046,0.0246,0.0,0.251,0.84,100.999,4,j-dance
Mandelbarth;Balduin,Palmtree,Palmtree - Balduin Remix,55,212000,False,0.843,0.617,9,-7.603,1,0.0429,0.0176,0.0262,0.133,0.395,119.983,4,deep-house
Biscits,Sundown,Sundown,62,211448,False,0.774,0.886,1,-7.569,1,0.0501,0.0306,0.129,0.0252,0.868,125.012,4,groove
Talstrasse 3-5;Rosi Rosetta,Kackparty,Die Kontaktanzeige,25,192857,False,0.881,0.705,7,-7.594,1,0.222,0.0464,0.00034,0.0699,0.529,126.989,4,party
Abhijeet,Sensational Duets (Abhijeet & Alka Yagnik),"Main Koi Aisa Geet Gaoon (From ""Yes Boss"")",64,317000,False,0.77,0.485,7,-11.612,1,0.0463,0.166,0.000196,0.289,0.932,121.685,4,pop-film
Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),Les alliés de la famille,24,75160,False,0.576,0.248,2,-19.584,0,0.0383,0.778,0.912,0.12,0.0383,119.092,3,disney
Roy Woods,Daily Pop Mix,Bad Bad,0,219563,False,0.476,0.526,9,-7.985,1,0.051,0.0737,2.99e-06,0.189,0.122,87.307,4,soul
Telefon Tel Aviv,Fahrenheit Fair Enough,Rittle Alpha - Archive '99,10,200033,False,0.485,0.907,7,-7.424,1,0.328,0.432,0.0464,0.134,0.0827,109.192,4,idm
The Beatles,Revolver (Remastered),Yellow Submarine - Remastered 2009,61,158880,False,0.604,0.549,1,-9.873,1,0.0389,0.531,0.0,0.438,0.696,111.398,4,british
Anitta;Saweetie,Pop Station,Faking Love,0,146933,True,0.896,0.578,0,-4.773,1,0.12,0.0389,0.0,0.063,0.866,133.01,4,funk
Vance Joy,Nation of Two,I'm with You,67,239786,False,0.657,0.396,7,-9.255,1,0.0293,0.805,1.58e-06,0.103,0.115,110.003,3,folk
Patty Shukla,"Bounce, Sing, Learn, Sing",Bouncing Up and Down,21,158277,False,0.845,0.712,9,-5.921,1,0.0597,0.657,0.0,0.347,0.847,114.862,4,kids
Chris Tomlin,Always,Strongholds,57,240566,False,0.502,0.613,10,-6.419,1,0.0295,0.0153,0.0,0.301,0.271,89.992,4,world-music
Hidra,C-137,Bağırın,44,236124,True,0.873,0.561,1,-10.38,1,0.379,0.204,0.0,0.493,0.173,119.999,4,turkish
2 Brothers On The 4th Floor,The Very Best of 2 Brothers on the 4th Floor (25th Anniversary Edition),Fairytales,17,210141,False,0.517,0.905,1,-5.476,1,0.0364,0.0189,0.887,0.0894,0.112,168.037,4,happy
The Beatles,Love,Strawberry Fields Forever,48,271973,False,0.383,0.558,11,-10.319,1,0.0514,0.0303,3.98e-05,0.555,0.207,102.508,4,british
George Jones,A Satisfied Mind,White Lightning (Original Mix),11,169160,False,0.61,0.778,10,-9.0,1,0.104,0.771,2.92e-06,0.111,0.909,74.294,4,honky-tonk
Tipe-X,Super Surprise,Ngga Tahu Diri,33,225533,False,0.546,0.946,9,-3.843,1,0.0511,0.0106,6.44e-05,0.0573,0.61,110.067,4,ska
Kuana Torres Kahele,Ohai Ali'i Kaluhea,Ohai Ali'i Kaluhea,22,288492,False,0.415,0.414,9,-5.948,1,0.0277,0.833,0.0,0.181,0.203,79.871,4,guitar
Panagiotis Margaris,"Cafe de l'Art, Vol. 1 (14 Guitar Duets Themes)",Tango en Skai - Instrumental,25,173800,False,0.591,0.122,9,-19.174,0,0.0479,0.982,0.837,0.0734,0.358,118.952,4,guitar
Jordan Solomon,Used To,Used To,37,154375,True,0.777,0.501,1,-10.319,1,0.0939,0.606,0.000181,0.165,0.762,68.038,3,sad
Ali Azmat,Jism 2,Yeh Jism,63,230640,False,0.6,0.451,4,-10.246,0,0.0344,0.133,1.23e-05,0.122,0.223,78.023,4,pop
Asspera,Cada Vez Mas Pelotudos,El Peaje Más Caro del Mundo,34,333653,True,0.515,0.913,1,-2.724,1,0.0467,0.000366,1.29e-06,0.864,0.396,125.016,4,heavy-metal
Costa Gold;Wentz,Posfácio,Alameda Weed,46,268195,False,0.87,0.693,6,-7.428,0,0.327,0.596,0.0,0.231,0.5,120.041,4,brazil
Nogizaka46,Time flies (Complete Edition),僕がいる場所,24,304706,False,0.444,0.902,7,-4.025,1,0.0631,0.578,0.0,0.349,0.594,155.963,4,j-idol
Paul Anka,Las 66 Favoritas de Jose María Íñigo y José Ramón Pardo. Vol. 1 (1958-1961) [Remastered]],Put Your Head On My Shoulder (Remastered),51,158879,False,0.587,0.55,4,-4.967,0,0.0279,0.712,0.0,0.182,0.525,109.967,3,r-n-b
Celtic Woman,A New Journey,Scarborough Fair,52,192973,False,0.247,0.233,10,-13.611,1,0.0366,0.914,2.49e-05,0.379,0.102,123.097,3,opera
Chris Lake;Cloonee;Alexis Roberts,Turn Off The Lights (Cloonee Remix),Turn Off The Lights - Cloonee Remix,51,198754,False,0.902,0.41,11,-6.981,0,0.14,0.0555,0.0417,0.123,0.204,127.989,4,groove
Mandy Patinkin;Rebecca Luker,The Secret Garden (Original Broadway Cast Recording),A Girl in the Valley,22,158466,False,0.287,0.249,7,-14.572,1,0.0375,0.964,1.03e-06,0.092,0.239,87.79,4,show-tunes
